Reg1,Reg2,Cat,Slope,p-value,CI,Significant
SBP_Distribution_STD,DBP_Error_STD,Testing_Subject_Characteristics,[-7.44455022 -3.98596608 -5.99671267  0.1001934 ],[1.75430167e-05 3.51416885e-02 3.39174079e-02 6.02011254e-01],"[[-10.64763859  -4.24146185]
 [ -7.68547763  -0.28645452]
 [-11.52353156  -0.46989378]
 [ -0.28170857   0.48209537]]",False
SBP_Distribution_STD,DBP_Error_STD,Sensor_Data,"[  0.04569882   0.44182421  -4.10240412  -2.17385508  -1.17071646
   2.11737352  -4.2723893   -5.27650675  -9.2720718   -7.40939992
  -7.40187814  -0.11799624  -4.28017517   2.514782     6.33049355
  -7.61577942  -5.80174266   2.22090982 -14.14192647  -4.92697882
   0.10745405]","[0.99493304 0.96100091 0.57827087 0.74214675 0.88064953 0.74944433
 0.54366878 0.55718042 0.30805153 0.41195858 0.41234821 0.98953963
 0.6339067  0.73458184 0.48484674 0.40047896 0.46192418 0.80584718
 0.11936763 0.52879851 0.64408905]","[[-14.35411379  14.44551144]
 [-17.63901183  18.52266026]
 [-18.84498932  10.64018109]
 [-15.38768796  11.0399778 ]
 [-16.77155106  14.43011813]
 [-11.1420531   15.37680014]
 [-18.322761     9.77798241]
 [-23.22967782  12.67666432]
 [-27.37307824   8.82893464]
 [-25.41556843  10.59676859]
 [-25.40487458  10.60111831]
 [-18.1278613   17.89186881]
 [-22.24293882  13.68258848]
 [-12.31884393  17.34840794]
 [-11.7569552   24.4179423 ]
 [-25.67303162  10.44147277]
 [-21.53677834   9.93329301]
 [-15.85471805  20.2965377 ]
 [-32.07619697   3.79234402]
 [-20.54717605  10.69321842]
 [ -0.35744148   0.57234957]]",False
SBP_Distribution_STD,SBP_ED,,1.7696008333548248,0.003014196038057169,[0.6219152  2.91728647],True
SBP_Distribution_STD,SBP_ED,Calibration_Technique,[6.33042349 1.21983775],[0.00229678 0.03519709],"[[ 2.34478638 10.31606059]
 [ 0.08718761  2.3524879 ]]",True
SBP_Distribution_STD,SBP_ED,Algorithm,"[ -1.8732014   -0.7997182    2.09894014  12.00312323  -1.51493787
  -3.00694335   0.56788372 -10.14834836   1.36401996]","[0.75317513 0.89319598 0.22165507 0.0475708  0.79930113 0.39606445
 0.82860113 0.09760004 0.03230674]","[[-13.73444706   9.98804427]
 [-12.66392136  11.06448497]
 [ -1.30073471   5.49861498]
 [  0.13276502  23.87348144]
 [-13.38077483  10.3508991 ]
 [-10.04345517   4.02956846]
 [ -4.65618993   5.79195737]
 [-22.21100049   1.91430377]
 [  0.11902117   2.60901874]]",False
SBP_Distribution_STD,SBP_ED,Dataset,"[10.12713082 16.18986985  2.65670579  6.86617745  8.47738376  5.88807371
  4.98489883  9.38088983  9.5665864   1.52797619]","[0.04089799 0.01051805 0.40895201 0.27361819 0.01907458 0.34942981
 0.42810326 0.13124825 0.02164561 0.00749373]","[[ 0.43321788 19.82104376]
 [ 3.93091643 28.44882328]
 [-3.73536562  9.0487772 ]
 [-5.56676344 19.29911834]
 [ 1.43961372 15.51515379]
 [-6.60357894 18.37972637]
 [-7.51568344 17.4854811 ]
 [-2.88415446 21.64593413]
 [ 1.45242121 17.68075159]
 [ 0.42398845  2.63196394]]",False
SBP_Distribution_STD,SBP_ED,Testing_Subject_Characteristics,[-6.6355116  -2.81945366 -5.43832169  1.26785129],[6.73099489e-05 1.30639983e-01 4.37374690e-02 2.26265610e-02],"[[ -9.74629919  -3.52472402]
 [ -6.49750995   0.85860263]
 [-10.71926112  -0.15738225]
 [  0.18358233   2.35212025]]",False
SBP_Distribution_STD,SBP_ED,Sensor_Data,"[ 4.35281348  3.33677555 -0.68035887  1.57528538 -0.56458423  5.64900704
 -0.40499735 -0.8729596  -4.8772303  -2.42414607 -2.48332169  0.82004747
 -0.18735972  7.06957617  9.49982443 -3.04223123 -1.1922094   4.30853688
 -8.85414746 -1.33052838  1.58855755]","[0.51246708 0.69231234 0.92193792 0.799658   0.93794095 0.36705644
 0.95126053 0.91856751 0.56731631 0.77746377 0.77205222 0.92200192
 0.9824387  0.31667159 0.2633645  0.72156318 0.87251829 0.60830003
 0.30717906 0.85663685 0.01628625]","[[ -8.90951716  17.61514412]
 [-13.5153274   20.1888785 ]
 [-14.56686185  13.20614411]
 [-10.83579563  13.98636639]
 [-15.06841254  13.93924407]
 [ -6.82418545  18.12219953]
 [-13.65768463  12.84768994]
 [-17.95060537  16.20468617]
 [-21.902552    12.1480914 ]
 [-19.5730448   14.72475265]
 [-19.62198919  14.6553458 ]
 [-15.93135639  17.57145134]
 [-17.21266257  16.83794314]
 [ -6.97794717  21.11709951]
 [ -7.37737968  26.37702855]
 [-20.10588954  14.02142709]
 [-16.05145966  13.66704087]
 [-12.48361935  21.10069312]
 [-26.10224562   8.39395071]
 [-16.05929544  13.39823867]
 [  0.30586853   2.87124657]]",False
SBP_Distribution_STD,DBP_ED,,1.7937299135929183,0.009082010419259533,[0.46154545 3.12591438],True
SBP_Distribution_STD,DBP_ED,Calibration_Technique,[6.85764467 1.17736902],[0.00097997 0.07180875],"[[ 2.89141993 10.82386941]
 [-0.10740625  2.46214429]]",False
SBP_Distribution_STD,DBP_ED,Algorithm,"[ -2.98712696  -0.86443018   2.03420147  11.26708251  -2.34931664
  -4.23703691   0.0509007  -10.80825763   1.34687187]","[0.62147325 0.88632893 0.24457963 0.06593799 0.69737317 0.32976348
 0.98467147 0.08172673 0.06293313]","[[-15.03209992   9.05784599]
 [-12.91576888  11.18690851]
 [ -1.42963447   5.4980374 ]
 [ -0.76638984  23.30055486]
 [-14.38260007   9.68396678]
 [-12.86638035   4.39230654]
 [ -5.22950068   5.33130208]
 [-23.02093973   1.40442447]
 [ -0.07503086   2.7687746 ]]",False
SBP_Distribution_STD,DBP_ED,Dataset,"[11.5442319  16.45188513  3.57020657  9.36361058  9.40990074  9.09268034
  5.95384368  9.61463471  9.74779921  1.60059488]","[0.02263115 0.01047278 0.27231223 0.1375011  0.00959225 0.14891373
 0.34759273 0.12750125 0.02117363 0.01275267]","[[ 1.67873289 21.40973091]
 [ 4.00748693 28.89628333]
 [-2.87939127 10.01980441]
 [-3.08394837 21.81116953]
 [ 2.38056961 16.43923186]
 [-3.3513845  21.53674518]
 [-6.63462436 18.54231172]
 [-2.8341763  22.06344571]
 [ 1.51311    17.98248841]
 [ 0.35428208  2.84690768]]",False
SBP_Distribution_STD,DBP_ED,Testing_Subject_Characteristics,[-7.09507769 -3.38574356 -5.54067551  1.57577361],[1.70229598e-05 6.07659418e-02 5.90621038e-02 1.08806926e-02],"[[-10.13937781  -4.05077758]
 [ -6.92918509   0.15769796]
 [-11.29981554   0.21846452]
 [  0.37586332   2.77568389]]",False
SBP_Distribution_STD,DBP_ED,Sensor_Data,"[ 5.73486492  4.56355659  0.94247207  2.35366393  3.49934304  6.04285834
  0.57204326  0.14004396 -2.51634306 -2.53934577  3.96001723 -0.36103455
  7.17957845 10.60025132 -2.45998841 -1.12318954  6.87150718 -8.23014954
 -0.73827551  1.44472662]","[0.42365895 0.60602342 0.89938075 0.72115255 0.65440996 0.35890123
 0.93544633 0.98764897 0.77864353 0.77659957 0.65475474 0.96743336
 0.33236278 0.23460172 0.78397916 0.88516987 0.44144985 0.36998193
 0.92396711 0.05942937]","[[ -8.55911183  20.02884166]
 [-13.11713536  22.24424854]
 [-13.97160086  15.85654501]
 [-10.833155    15.54048286]
 [-12.12667721  19.12536329]
 [ -7.07769894  19.16341562]
 [-13.56049488  14.70458141]
 [-17.96274439  18.24283232]
 [-20.42267808  15.38999195]
 [-20.43944921  15.36075768]
 [-13.74203189  21.66206635]
 [-18.05614913  17.33408003]
 [ -7.56660803  21.92576493]
 [ -7.11086673  28.31136938]
 [-20.40947073  15.48949391]
 [-16.68439196  14.43801288]
 [-10.93519825  24.6782126 ]
 [-26.52126365  10.06096457]
 [-16.21713595  14.74058494]
 [ -0.05980792   2.94926115]]",False
DBP_Distribution_STD,SBP_Error_STD,,0.10854758889574496,0.20372558562736207,[-0.06027488  0.27737005],False
DBP_Distribution_STD,SBP_Error_STD,Calibration_Technique,[3.88335567 0.11018513],[0.00039321 0.1588174 ],"[[ 1.80884231  5.95786903]
 [-0.04419273  0.26456298]]",False
DBP_Distribution_STD,SBP_Error_STD,Algorithm,"[ 0.0851106  -1.0193441   1.03920959  1.91945348  3.01414093 -1.68125845
 -1.64530161 -9.62394713  0.17828345]","[0.97900914 0.75266159 0.24761038 0.565538   0.35305525 0.47150052
 0.25098347 0.0059071  0.04826982]","[[-6.36211819e+00  6.53233940e+00]
 [-7.46359220e+00  5.42490399e+00]
 [-7.41881164e-01  2.82030034e+00]
 [-4.72858247e+00  8.56748943e+00]
 [-3.43052706e+00  9.45880892e+00]
 [-6.32460051e+00  2.96208360e+00]
 [-4.48556645e+00  1.19496323e+00]
 [-1.63637984e+01 -2.88409590e+00]
 [ 1.40188285e-03  3.55165024e-01]]",False
DBP_Distribution_STD,SBP_Error_STD,Dataset,"[3.54388484 4.94721063 1.01583515 3.72179228 2.8993875  0.09186827
 1.12625686 2.90868964 2.91983629 0.01380273]","[0.27175591 0.22781833 0.62043957 0.34976927 0.196878   0.98153824
 0.77686755 0.46548256 0.27630346 0.89138033]","[[-2.85065862  9.9384283 ]
 [-3.17880364 13.07322491]
 [-3.06931577  5.10098607]
 [-4.18324644 11.626831  ]
 [-1.54698869  7.3457637 ]
 [-7.82316884  8.00690538]
 [-6.79398519  9.04649891]
 [-5.01818314 10.83556243]
 [-2.3993868   8.23905938]
 [-0.18769628  0.21530173]]",False
DBP_Distribution_STD,SBP_Error_STD,Testing_Subject_Characteristics,[-1.44094267 -0.50776101 -0.94152075  0.07341884],[0.14931263 0.64838535 0.60654426 0.4108996 ],"[[-3.41346319  0.53157786]
 [-2.72225102  1.70672899]
 [-4.5764669   2.6934254 ]
 [-0.10381358  0.25065126]]",False
DBP_Distribution_STD,SBP_Error_STD,Sensor_Data,"[-0.70060232  4.69726742 -2.35988863 -1.03112937 -1.79360665  0.44602285
 -0.31011727 -6.05868067 -2.01032328 -1.99043285  1.86732286 -0.55217755
  0.63096372  3.98727349 -1.28540726  2.67145175  1.84945578 -7.95650292
 -0.22965324  0.07103726]","[0.8511755  0.32476904 0.54315652 0.76801491 0.66228759 0.89932344
 0.93286382 0.20662276 0.67302242 0.67590167 0.6936944  0.90750375
 0.87408239 0.40511328 0.78651102 0.51752987 0.69677905 0.09792806
 0.95544079 0.47235353]","[[ -8.17154263   6.77033799]
 [ -4.7986625   14.19319734]
 [-10.11082938   5.39105212]
 [ -8.02296014   5.96070141]
 [-10.00287913   6.41566584]
 [ -6.60798919   7.50003489]
 [ -7.67628241   7.05604786]
 [-15.57658256   3.45922122]
 [-11.53382517   7.51317861]
 [-11.50877412   7.52790843]
 [ -7.61234059  11.34698631]
 [-10.06148735   8.95713226]
 [ -7.33515337   8.59708081]
 [ -5.56098238  13.53552937]
 [-10.7786067    8.20779218]
 [ -5.57035522  10.91325871]
 [ -7.64025     11.33916157]
 [-17.4358062    1.52280036]
 [ -8.45404946   7.99474297]
 [ -0.12621549   0.26829002]]",False
DBP_Distribution_STD,DBP_Error_STD,,0.08216097243230094,0.4730222027316232,[-0.14513221  0.30945416],False
DBP_Distribution_STD,DBP_Error_STD,Calibration_Technique,[4.00949772 0.12481811],[0.00030017 0.23559732],"[[ 1.91363981  6.10535563]
 [-0.08340953  0.33304575]]",False
DBP_Distribution_STD,DBP_Error_STD,Algorithm,"[  0.55924821  -1.20763773   1.34204331   3.09774615   2.8149224
  -1.33948239  -1.18882505 -11.55711623   0.28373423]","[0.86217711 0.70674393 0.13832973 0.33703533 0.38173648 0.56549282
 0.39634458 0.00237469 0.02785065]","[[ -5.86053434   6.97903075]
 [ -7.60121833   5.18594287]
 [ -0.44560996   3.12969658]
 [ -3.30767335   9.50316565]
 [ -3.57791216   9.20775697]
 [ -5.97824514   3.29928035]
 [ -3.97372356   1.59607347]
 [-18.83534818  -4.27888428]
 [  0.031991     0.53547745]]",False
DBP_Distribution_STD,DBP_Error_STD,Dataset,"[ 3.66825485e+00  5.08744665e+00  1.01152133e+00  3.69338759e+00
  2.94067562e+00  4.91363323e-02  1.07300702e+00  2.96186627e+00
  2.99397262e+00 -2.51553688e-03]","[0.29521479 0.2043277  0.62227548 0.35320163 0.18862626 0.99009769
 0.78738255 0.45561511 0.25719272 0.98534874]","[[-3.28472627 10.62123597]
 [-2.84653287 13.02142617]
 [-3.07779297  5.10083563]
 [-4.20785782 11.594633  ]
 [-1.48491706  7.36626829]
 [-7.84410173  7.9423744 ]
 [-6.85610494  9.00211899]
 [-4.93341513 10.85714767]
 [-2.24433098  8.23227623]
 [-0.27562137  0.2705903 ]]",False
DBP_Distribution_STD,DBP_Error_STD,Testing_Subject_Characteristics,[-1.59245002 -0.47766886 -0.97514436  0.0618227 ],[0.10345046 0.66929894 0.59587814 0.59323268],"[[-3.51841282  0.33351278]
 [-2.70208712  1.74674941]
 [-4.63088076  2.68059204]
 [-0.16828427  0.29192967]]",False
DBP_Distribution_STD,DBP_Error_STD,Sensor_Data,"[-0.41005011  4.77023352 -2.30742691 -0.69201675 -1.88618534  0.81916265
 -0.21526203 -5.8096335  -1.77517859 -1.77342991  1.80282291 -0.34746085
  1.17859632  4.26759933 -1.21991004  2.79510495  1.88234577 -8.00997001
 -0.14577814  0.02498126]","[0.91466229 0.32330329 0.55657863 0.84378877 0.64946962 0.8162018
 0.95402206 0.22693247 0.71082547 0.71104859 0.70659327 0.94196966
 0.76503643 0.3765781  0.79937353 0.50482583 0.69536446 0.09768991
 0.97198234 0.8397747 ]","[[ -8.06673498   7.24663476]
 [ -4.84372935  14.38419639]
 [-10.14637121   5.5315174 ]
 [ -7.71809112   6.33405761]
 [-10.18147899   6.40910831]
 [ -6.23115487   7.86948017]
 [ -7.68614177   7.25561772]
 [-15.3557142    3.7364472 ]
 [-11.34943916   7.79908197]
 [-11.34600381   7.799144  ]
 [ -7.77340318  11.379049  ]
 [ -9.89864212   9.20372043]
 [ -6.70875626   9.06594891]
 [ -5.34987965  13.88507832]
 [-10.82133287   8.38151279]
 [ -5.57154625  11.16175616]
 [ -7.7288478   11.49353934]
 [-17.54600088   1.52606085]
 [ -8.45136732   8.15981104]
 [ -0.22221352   0.27217604]]",False
DBP_Distribution_STD,SBP_ED,,0.8351942983170981,0.00924423723537622,[0.21338283 1.45700576],True
DBP_Distribution_STD,SBP_ED,Calibration_Technique,[3.2773866  0.54086278],[0.00363938 0.08544855],"[[ 1.1080516   5.44672159]
 [-0.07761925  1.15934481]]",False
